Designator,Mid X,Mid Y,Layer,Rotation
D195,12.40,-153.72,T,270.00
D196,14.15,-153.72,T,270.00
D196,14.15,-63.73,T,270.00
D197,15.90,-153.72,T,270.00
D197,15.90,-63.73,T,270.00
D198,17.65,-63.73,T,270.00
D198,17.65,-153.72,T,270.00
D199,19.40,-63.73,T,270.00
D199,19.40,-153.72,T,270.00
D200,21.15,-153.72,T,270.00
D200,21.15,-63.73,T,270.00
D201,22.90,-63.73,T,270.00
D201,22.90,-153.72,T,270.00
D202,24.65,-153.72,T,270.00
D202,24.65,-63.73,T,270.00
D203,26.40,-153.72,T,270.00
D203,26.40,-63.73,T,270.00
D204,28.15,-153.72,T,270.00
D204,28.15,-63.73,T,270.00
D205,29.90,-153.72,T,270.00
D205,29.90,-63.73,T,270.00
D206,31.65,-153.72,T,270.00
D206,31.65,-63.73,T,270.00
D207,33.40,-153.72,T,270.00
D207,33.40,-63.73,T,270.00
D208,35.15,-63.73,T,270.00
D208,35.15,-153.72,T,270.00
D209,36.90,-153.72,T,270.00
D209,36.90,-63.73,T,270.00
D210,38.65,-153.72,T,270.00
D210,38.65,-63.73,T,270.00
D211,40.40,-153.72,T,270.00
D211,40.40,-63.73,T,270.00
D212,42.15,-63.73,T,270.00
D212,42.15,-153.72,T,270.00
D213,43.90,-63.73,T,270.00
D213,43.90,-153.72,T,270.00
D214,45.65,-153.72,T,270.00
D214,45.65,-63.73,T,270.00
D215,47.40,-153.72,T,270.00
D215,47.40,-63.73,T,270.00
D216,49.15,-63.73,T,270.00
D216,49.15,-153.72,T,270.00
D217,50.90,-63.73,T,270.00
D217,50.90,-153.72,T,270.00
D218,52.65,-63.73,T,270.00
D218,52.65,-153.72,T,270.00
D219,54.40,-153.72,T,270.00
D219,54.40,-63.73,T,270.00
D220,56.15,-63.73,T,270.00
D220,56.15,-153.72,T,270.00
D221,57.90,-63.73,T,270.00
D221,57.90,-153.72,T,270.00
D222,59.65,-153.72,T,270.00
D222,59.65,-63.73,T,270.00
D223,61.40,-63.73,T,270.00
D223,61.40,-153.72,T,270.00
D224,63.15,-63.73,T,270.00
D224,63.15,-153.72,T,270.00
D225,8.90,-151.97,T,270.00
D225,8.90,-61.98,T,270.00
D226,10.65,-151.97,T,270.00
D226,10.65,-61.98,T,270.00
D227,12.40,-151.97,T,270.00
D227,12.40,-61.98,T,270.00
D228,14.15,-151.97,T,270.00
D228,14.15,-61.98,T,270.00
D229,15.90,-151.97,T,270.00
D229,15.90,-61.98,T,270.00
D230,17.65,-61.98,T,270.00
D230,17.65,-151.97,T,270.00
D231,19.40,-151.97,T,270.00
D231,19.40,-61.98,T,270.00
D232,21.15,-61.98,T,270.00
D232,21.15,-151.97,T,270.00
D233,22.90,-151.97,T,270.00
D233,22.90,-61.98,T,270.00
D234,24.65,-151.97,T,270.00
D234,24.65,-61.98,T,270.00
D235,26.40,-61.98,T,270.00
D235,26.40,-151.97,T,270.00
D236,28.15,-151.97,T,270.00
D236,28.15,-61.98,T,270.00
D237,29.90,-61.98,T,270.00
D237,29.90,-151.97,T,270.00
D238,31.65,-151.97,T,270.00
D238,31.65,-61.98,T,270.00
D239,33.40,-61.98,T,270.00
D239,33.40,-151.97,T,270.00
D240,35.15,-151.97,T,270.00
D240,35.15,-61.98,T,270.00
D241,36.90,-61.98,T,270.00
D241,36.90,-151.97,T,270.00
D242,38.65,-151.97,T,270.00
D242,38.65,-61.98,T,270.00
D243,40.40,-61.98,T,270.00
D243,40.40,-151.97,T,270.00
D244,42.15,-151.97,T,270.00
D244,42.15,-61.98,T,270.00
D245,43.90,-61.98,T,270.00
D245,43.90,-151.97,T,270.00
D246,45.65,-151.97,T,270.00
D246,45.65,-61.98,T,270.00
D247,47.40,-61.98,T,270.00
D247,47.40,-151.97,T,270.00
D248,49.15,-151.97,T,270.00
D248,49.15,-61.98,T,270.00
D249,50.90,-151.97,T,270.00
D249,50.90,-61.98,T,270.00
D250,52.65,-151.97,T,270.00
D250,52.65,-61.98,T,270.00
D251,54.40,-151.97,T,270.00
D251,54.40,-61.98,T,270.00
D252,56.15,-61.98,T,270.00
D252,56.15,-151.97,T,270.00
D253,57.90,-151.97,T,270.00
D253,57.90,-61.98,T,270.00
D254,59.65,-151.97,T,270.00
D254,59.65,-61.98,T,270.00
D255,61.40,-61.98,T,270.00
D255,61.40,-151.97,T,270.00
D256,63.15,-151.97,T,270.00
D256,63.15,-61.98,T,270.00
D257,8.90,-150.22,T,270.00
D257,8.90,-60.23,T,270.00
D258,10.65,-60.23,T,270.00
D258,10.65,-150.22,T,270.00
D259,12.40,-150.22,T,270.00
D259,12.40,-60.23,T,270.00
D260,14.15,-60.23,T,270.00
D260,14.15,-150.22,T,270.00
D261,15.90,-60.23,T,270.00
D261,15.90,-150.22,T,270.00
D262,17.65,-150.22,T,270.00
D262,17.65,-60.23,T,270.00
D263,19.40,-60.23,T,270.00
D263,19.40,-150.22,T,270.00
D264,21.15,-150.22,T,270.00
